0.0,0.0,0.0,0.0,0.0,0.0
352.0,362.0,715.0,-2.0,2.0,2.0
352.0,361.0,715.0,-4.0,1.0,0.0
352.0,361.0,716.0,-3.0,2.0,1.0
352.0,361.0,715.0,-4.0,3.0,1.0
352.0,361.0,715.0,-3.0,1.0,1.0
352.0,362.0,716.0,-3.0,1.0,0.0
351.0,361.0,716.0,-4.0,2.0,1.0
355.0,364.0,718.0,-3.0,3.0,1.0
352.0,363.0,715.0,-4.0,2.0,2.0
354.0,365.0,717.0,-5.0,1.0,1.0
352.0,362.0,716.0,-3.0,1.0,0.0
352.0,362.0,715.0,-3.0,1.0,2.0
352.0,362.0,715.0,-3.0,2.0,0.0
352.0,364.0,715.0,-5.0,0.0,1.0
352.0,361.0,715.0,-4.0,2.0,1.0
352.0,361.0,715.0,-3.0,2.0,2.0
352.0,362.0,713.0,-5.0,3.0,0.0
354.0,366.0,719.0,-6.0,2.0,2.0
353.0,364.0,718.0,-4.0,4.0,2.0
352.0,361.0,715.0,-6.0,2.0,2.0
352.0,362.0,716.0,-6.0,3.0,2.0
352.0,362.0,715.0,-4.0,2.0,3.0
352.0,361.0,718.0,-7.0,3.0,1.0
352.0,362.0,715.0,-7.0,3.0,1.0
349.0,356.0,715.0,-126.0,46.0,461.0
357.0,359.0,717.0,-625.0,37.0,114.0
348.0,367.0,715.0,-1446.0,-552.0,-263.0
340.0,350.0,713.0,-1172.0,-237.0,1255.0
361.0,381.0,708.0,-443.0,-283.0,1107.0
355.0,384.0,712.0,-25.0,-219.0,161.0
348.0,419.0,737.0,4781.0,518.0,-824.0
359.0,344.0,696.0,3176.0,-495.0,-433.0
352.0,344.0,723.0,-1490.0,-681.0,43.0
351.0,345.0,716.0,-3133.0,-26.0,155.0
350.0,388.0,712.0,-4455.0,-8.0,515.0
332.0,411.0,714.0,-401.0,505.0,-280.0
344.0,414.0,712.0,8499.0,1076.0,-2032.0
360.0,321.0,692.0,-630.0,74.0,-84.0
377.0,371.0,704.0,-7246.0,-56.0,1389.0
360.0,400.0,716.0,-1700.0,698.0,-1096.0
359.0,440.0,712.0,6741.0,-317.0,133.0
294.0,354.0,719.0,1345.0,437.0,2235.0
435.0,330.0,691.0,-2086.0,-164.0,-634.0
332.0,415.0,715.0,907.0,1054.0,200.0
329.0,377.0,739.0,591.0,-559.0,2429.0
361.0,323.0,711.0,-589.0,-476.0,-342.0
362.0,366.0,706.0,71.0,758.0,-303.0
352.0,377.0,737.0,596.0,-206.0,91.0
353.0,341.0,702.0,-2174.0,-2929.0,-116.0
376.0,347.0,719.0,803.0,1722.0,435.0
289.0,377.0,716.0,873.0,2163.0,-373.0
428.0,387.0,710.0,-499.0,-346.0,-307.0
252.0,381.0,752.0,2355.0,1112.0,239.0
470.0,349.0,716.0,-1349.0,-3263.0,39.0
207.0,384.0,711.0,2098.0,2153.0,-125.0
505.0,357.0,729.0,-1065.0,-3001.0,-602.0
259.0,397.0,711.0,3378.0,2726.0,145.0
433.0,321.0,715.0,396.0,-1628.0,-435.0
339.0,272.0,691.0,-4115.0,-1656.0,1547.0
362.0,355.0,715.0,-4778.0,-3931.0,1771.0
318.0,460.0,678.0,-5062.0,-4329.0,2153.0
311.0,425.0,682.0,3087.0,2432.0,-2819.0
318.0,395.0,699.0,5150.0,5986.0,-5322.0
403.0,327.0,679.0,1345.0,1742.0,-1107.0
384.0,360.0,721.0,-6055.0,-6116.0,4159.0
299.0,431.0,679.0,-6601.0,-7728.0,5596.0
338.0,433.0,662.0,-3108.0,-3822.0,4585.0
376.0,409.0,666.0,-1388.0,-2759.0,2374.0
360.0,396.0,665.0,1634.0,1175.0,-1009.0
327.0,478.0,689.0,9916.0,5664.0,-4761.0
334.0,473.0,695.0,9154.0,2152.0,-5643.0
342.0,399.0,684.0,3335.0,-2015.0,-5067.0
359.0,371.0,674.0,-11203.0,-11592.0,1876.0
270.0,446.0,725.0,-1082.0,-5764.0,3775.0
323.0,391.0,618.0,-3079.0,-5758.0,1955.0
